# id, x, y, valid
0, 93, 394, 1
1, 101, 377, 1
2, 132, 320, 1
3, 102, 276, 1
4, 75, 237, 1
5, 310, 253, 1
6, 237, 289, 1
7, 202, 341, 1
8, 428, 359, 1
9, 416, 324, 1
10, 405, 141, 1
11, 224, 196, 1
12, 268, 160, 1
13, 272, 388, 1
14, 440, 380, 1
15, 470, 330, 1
16, 506, 169, 1
17, 453, 174, 1
18, 378, 206, 1
19, 207, 305, 1
20, 369, 409, 1
21, 327, 278, 1
22, 176, 256, 1
23, 112, 229, 1
24, 315, 176, 1
25, 292, 336, 1
26, 465, 399, 1
27, 432, 285, 1
28, 410, 308, 1
29, 404, 286, 1
30, 463, 245, 1
31, 178, 375, 1
32, 219, 281, 1
33, 266, 355, 1
34, 347, 336, 1
35, 360, 121, 1
36, 359, 264, 1
37, 387, 221, 1
38, 287, 214, 1
39, 222, 320, 1
40, 478, 208, 1
41, 492, 219, 1
42, 427, 260, 1
43, 425, 234, 1
44, 414, 195, 1
45, 361, 367, 1
46, 290, 241, 1
47, 225, 355, 1
48, 129, 268, 1
49, 83, 329, 1
