id, x, y, valid
0, 79, 357, 1
1, 86, 341, 1
2, 123, 283, 1
3, 98, 240, 1
4, 73, 202, 1
5, 302, 219, 1
6, 228, 254, 1
7, 188, 304, 1
8, 450, 338, 1
9, 437, 304, 1
10, 416, 137, 1
11, 222, 161, 1
12, 266, 126, 1
13, 258, 351, 1
14, 457, 360, 1
15, 496, 313, 1
16, 546, 154, 1
17, 493, 160, 1
18, 383, 190, 1
19, 195, 269, 1
20, 370, 375, 1
21, 320, 247, 1
22, 171, 220, 1
23, 109, 194, 1
24, 311, 144, 1
25, 278, 301, 1
26, 486, 380, 1
27, 456, 266, 1
28, 425, 286, 1
29, 419, 265, 1
30, 497, 227, 1
31, 163, 339, 1
32, 211, 243, 1
33, 252, 320, 1
34, 344, 304, 1
35, 361, 101, 1
36, 362, 240, 1
37, 396, 207, 1
38, 281, 180, 1
39, 212, 283, 1
40, 516, 192, 1
41, 528, 201, 1
42, 449, 243, 1
43, 449, 217, 1
44, 434, 180, 1
45, 360, 335, 1
46, 282, 206, 1
47, 209, 318, 1
48, 124, 234, 1
49, 75, 293, 1
