id,x,y,valid
0,158.84,328.26,1
1,193.28,352.44,1
2,215.86,369.49,1
3,227.26,378.35,1
4,260.48,408.23,1
5,313.35,451.61,1
6,327.83,464.80,1
7,191.66,330.80,1
8,203.02,338.79,1
9,214.26,346.95,1
10,247.57,373.16,1
11,166.45,294.82,1
12,264.70,369.23,1
13,243.28,328.47,1
14,254.35,336.72,1
15,293.00,376.01,1
16,346.91,427.17,1
17,230.51,300.12,1
18,252.19,315.54,1
19,187.27,252.73,1
20,216.90,273.17,1
21,250.30,295.34,1
22,271.10,310.71,1
23,197.11,242.11,1
24,206.12,248.19,1
25,215.70,254.66,1
26,225.88,261.52,1
27,186.56,218.48,1
28,196.54,225.11,1
29,206.30,231.61,1
30,215.41,237.59,1
31,224.78,243.73,1
32,214.90,221.17,1
33,233.45,233.03,1
34,253.46,245.91,1
35,271.90,241.44,1
36,249.92,212.27,1
37,269.31,224.02,1
38,300.56,243.05,1
39,286.86,219.04,1
40,297.27,225.14,1
41,307.84,231.31,1
42,329.24,243.67,1
43,274.23,196.64,1
44,304.26,213.52,1
45,252.46,169.83,1
46,280.91,185.51,1
47,300.46,196.00,1
48,332.90,213.52,1
49,343.81,219.09,1
50,249.74,154.21,1
51,296.95,179.08,1
52,317.43,189.49,1
53,335.26,182.91,1
54,396.63,212.73,1
55,270.13,135.92,1
56,279.54,140.48,1
57,342.26,170.74,1
58,419.58,199.71,1
59,338.12,154.25,1
60,474.35,193.59,1
61,334.14,138.30,1
62,345.17,143.36,1
63,269.36,92.76,1
64,330.15,120.74,1
65,340.34,125.09,1
66,351.29,129.84,1
67,275.88,82.25,1
68,295.14,90.27,1
69,305.03,94.37,1
70,315.17,98.58,1
71,325.61,102.68,1
72,335.36,106.60,1
73,345.61,110.62,1
74,320.35,84.10,1
75,351.53,95.58,1
76,358.00,80.47,1
77,364.61,65.72,1
78,523.24,90.01,1
79,290.43,21.78,1
80,310.29,27.18,1
81,358.52,44.78,1
82,302.83,5.54,1
83,294.89,-17.67,0
84,307.00,-13.55,0
85,319.67,-9.08,0
86,332.67,-3.71,0
87,345.72,2.44,1
88,358.77,8.66,1
89,299.33,-36.87,0
90,494.04,36.26,1
91,512.50,34.87,1
92,530.90,27.52,1
93,553.48,19.42,1
94,574.06,46.55,1
95,548.01,76.73,0
