id,x,y,valid
0,145.52,138.51,1
1,144.25,181.96,1
2,144.06,210.87,1
3,144.04,225.29,1
4,144.08,268.39,1
5,144.15,325.67,1
6,144.16,339.97,1
7,159.53,167.85,1
8,159.27,182.21,1
9,159.12,196.58,1
10,159.00,239.69,1
11,176.39,125.99,1
12,173.97,254.06,1
13,189.06,211.21,1
14,188.99,225.49,1
15,188.95,282.73,1
16,189.00,339.95,1
17,204.39,182.97,1
18,204.07,211.35,1
19,220.91,112.63,1
20,219.90,154.95,1
21,219.21,197.29,1
22,219.00,225.69,1
23,235.51,112.51,1
24,235.27,126.75,1
25,235.02,140.91,1
26,234.78,155.02,1
27,250.41,83.49,1
28,250.30,97.97,1
29,250.16,112.35,1
30,250.00,126.64,1
31,249.83,140.85,1
32,264.87,112.18,1
33,264.63,140.76,1
34,264.37,169.16,1
35,279.17,183.31,1
36,294.29,140.53,1
37,294.15,169.05,1
38,293.94,211.71,1
39,308.98,183.23,1
40,308.93,197.47,1
41,308.88,211.70,1
42,308.78,240.17,1
43,323.97,154.64,1
44,323.85,197.43,1
45,338.92,111.61,1
46,338.85,154.56,1
47,338.80,183.12,1
48,338.71,225.90,1
49,338.68,240.16,1
50,353.81,97.22,1
51,353.73,168.79,1
52,353.69,197.35,1
53,368.59,211.59,1
54,368.51,282.93,1
55,383.59,111.48,1
56,383.58,125.80,1
57,383.52,211.56,1
58,383.43,311.47,1
59,398.46,197.25,1
60,398.36,354.30,1
61,413.40,182.94,1
62,413.39,197.23,1
63,428.37,82.83,1
64,428.34,168.63,1
65,428.33,182.92,1
66,428.33,197.21,1
67,443.30,82.83,1
68,443.28,111.43,1
69,443.28,125.73,1
70,443.28,140.03,1
71,443.27,154.32,1
72,443.27,168.61,1
73,443.27,182.91,1
74,458.21,140.02,1
75,458.21,182.89,1
76,473.15,182.88,1
77,488.09,182.88,1
78,488.07,340.01,1
79,503.05,82.85,1
80,503.04,111.43,1
81,503.04,168.58,1
82,517.99,97.14,1
83,532.93,82.86,1
84,532.94,97.15,1
85,532.94,111.43,1
86,532.94,125.72,1
87,532.94,140.01,1
88,532.94,154.29,1
89,547.88,82.86,1
90,547.88,282.87,1
91,547.88,297.16,1
92,547.87,311.44,1
93,547.87,325.73,1
94,547.87,354.30,1
95,547.87,382.87,1
